Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,0.00821482,0.00020218,0.00424442,0,0,0,2.7673,0.00998124,9.82E-06,-0.00257876,0.02546149,-1.318E-05,0.02812534,0,0,0,0,0,0,package://minidog/meshes/base.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://minidog/meshes/base.STL,,base-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lf_hip,0.03515121,-0.00140177,9.224E-05,0,0,0,0.28323,8.573E-05,1.77E-06,-9E-08,9.68E-05,4.9E-07,9.864E-05,0,0,0,0,0,0,package://minidog/meshes/lf_hip.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://minidog/meshes/lf_hip.STL,,hip-1,lf_hip_link,lf_hip,lf_hip_joint,revolute,0.097,0.04,0,0,0,0,base,1,0,0,6,10.467,-0.087222,0.087222,,,,,,,,
lf_thigh,-0.00010595,0.05512752,-0.00907793,0,0,0,0.42421,0.00057282,7.38E-06,-1.032E-05,0.00042725,0.00010651,0.0002817,0,0,0,0,0,0,package://minidog/meshes/lf_thigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://minidog/meshes/lf_thigh.STL,,lf_thigh-1,lf_thigh_link,lf_thigh,lf_thigh_joint,revolute,0.037,0.017,0,0,0,0,lf_hip,0,1,0,6,10.467,-2.6167,2.6167,,,,,,,,
lf_calf,0.00275232,0,-0.02972173,0,0,0,0.045248,7.175E-05,0,3.98E-06,7.314E-05,0,3.66E-06,0,0,0,0,0,0,package://minidog/meshes/lf_calf.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://minidog/meshes/lf_calf.STL,,calf-1,lf_calf_link,lf_calf,lf_calf_joint,revolute,0,0.081,-0.105,0,0,0,lf_thigh,0,1,0,6,10.467,-2.5469,-0.48844,,,,,,,,
lf_foot,-0.0005743,-0.00010766,-0.0027789,0,0,0,0.014945,1E-06,0,6E-08,1.06E-06,0,1.3E-06,0,0,0,0,0,0,package://minidog/meshes/lf_foot.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://minidog/meshes/lf_foot.STL,,foot-1,lf_foot_link,lf_foot,lf_foot_joint,fixed,0,0,-0.12589,0,0,0,lf_calf,0,0,0,,,,,,,,,,,,
rf_hip,0.03515121,0.00140177,-9.224E-05,0,0,0,0.28323,8.573E-05,-1.77E-06,9E-08,9.68E-05,4.9E-07,9.864E-05,0,0,0,0,0,0,package://minidog/meshes/rf_hip.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://minidog/meshes/rf_hip.STL,,hip-2,rf_hip_link,rf_hip,rf_hip_joint,revolute,0.097,-0.04,0,0,0,0,base,1,0,0,6,10.467,-0.087222,0.087222,,,,,,,,
rf_thigh,6.646E-05,-0.05491633,-0.00912824,0,0,0,0.42559,0.00057366,-9.7E-06,-1.102E-05,0.00042739,-0.00010638,0.00028519,0,0,0,0,0,0,package://minidog/meshes/rf_thigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://minidog/meshes/rf_thigh.STL,,rf_thigh-1,rf_thigh_link,rf_thigh,rf_thigh_joint,revolute,0.037,-0.017,0,0,0,0,rf_hip,0,1,0,6,10.467,-2.6167,2.6167,,,,,,,,
rf_calf,0.00275232,0,-0.02972173,0,0,0,0.045248,7.175E-05,0,3.98E-06,7.314E-05,0,3.66E-06,0,0,0,0,0,0,package://minidog/meshes/rf_calf.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://minidog/meshes/rf_calf.STL,,calf-2,rf_calf_link,lf_calf,rf_calf_joint,revolute,0,-0.081,-0.105,0,0,0,rf_thigh,0,1,0,6,10.467,-2.5469,-0.48844,,,,,,,,
rf_foot,-0.0005743,-0.00010766,-0.0027789,0,0,0,0.014945,1E-06,0,6E-08,1.06E-06,0,1.3E-06,0,0,0,0,0,0,package://minidog/meshes/rf_foot.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://minidog/meshes/rf_foot.STL,,foot-2,rf_foot_link,rf_foot,rf_foot_joint,fixed,0,0,-0.12589,0,0,0,rf_calf,0,0,0,,,,,,,,,,,,
lr_hip,-0.03515121,-0.00140177,-9.224E-05,0,0,0,0.28323,8.573E-05,-1.77E-06,-9E-08,9.68E-05,-4.9E-07,9.864E-05,0,0,0,0,0,0,package://minidog/meshes/lr_hip.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://minidog/meshes/lr_hip.STL,,hip-3,lr_hip_link,lr_hip,lr_hip_joint,revolute,-0.097,0.04,0,0,0,0,base,1,0,0,6,10.467,-0.087222,0.087222,,,,,,,,
lr_thigh,-0.00043375,0.05495689,-0.00971555,0,0,0,0.41571,0.00055768,5.8E-07,-6.79E-06,0.00041688,9.683E-05,0.00027342,0,0,0,0,0,0,package://minidog/meshes/lr_thigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://minidog/meshes/lr_thigh.STL,,lr_thigh-2,lr_thigh_link,lr_thigh,lr_thigh_joint,revolute,-0.037,0.017,0,0,0,0,lr_hip,0,1,0,6,10.467,-2.6167,2.6167,,,,,,,,
lr_calf,0.00275232,0,-0.02972173,0,0,0,0.045248,7.175E-05,0,3.98E-06,7.314E-05,0,3.66E-06,0,0,0,0,0,0,package://minidog/meshes/lr_calf.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://minidog/meshes/lr_calf.STL,,calf-3,lr_calf_link,lr_calf,lr_calf_joint,revolute,0,0.081,-0.105,0,0,0,lr_thigh,0,1,0,6,10.467,-2.5469,-0.48844,,,,,,,,
lr_foot,-0.0005743,-0.00010766,-0.0027789,0,0,0,0.014945,1E-06,0,6E-08,1.06E-06,0,1.3E-06,0,0,0,0,0,0,package://minidog/meshes/lr_foot.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://minidog/meshes/lr_foot.STL,,foot-3,lr_foot_link,lr_foot,lr_foot_joint,fixed,0,0,-0.12589,0,0,0,lr_calf,0,0,0,,,,,,,,,,,,
rr_hip,-0.03515121,0.00140177,9.224E-05,0,0,0,0.28323,8.573E-05,1.77E-06,9E-08,9.68E-05,-4.9E-07,9.864E-05,0,0,0,0,0,0,package://minidog/meshes/rr_hip.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://minidog/meshes/rr_hip.STL,,hip-4,rr_hip_link,rr_hip,rr_hip_joint,revolute,-0.097,-0.04,0,0,0,0,base,1,0,0,6,10.467,-0.087222,0.087222,,,,,,,,
rr_thigh,-0.00053812,-0.05495676,-0.00960878,0,0,0,0.41571,0.00055765,4.5E-07,-6.61E-06,0.0004175,-9.783E-05,0.00027407,0,0,0,0,0,0,package://minidog/meshes/rr_thigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://minidog/meshes/rr_thigh.STL,,rr_thigh-2,rr_thigh_link,rr_thigh,rr_thigh_joint,revolute,-0.037,-0.017,0,0,0,0,rr_hip,0,1,0,6,10.467,-2.6167,2.6167,,,,,,,,
rr_calf,0.00275232,0,-0.02972173,0,0,0,0.045248,7.175E-05,0,3.98E-06,7.314E-05,0,3.66E-06,0,0,0,0,0,0,package://minidog/meshes/rr_calf.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://minidog/meshes/rr_calf.STL,,calf-4,rr_calf_link,rr_calf,rr_calf_joint,revolute,0,-0.081,-0.105,0,0,0,rr_thigh,0,1,0,6,10.467,-2.5469,-0.48844,,,,,,,,
rr_foot,-0.0005743,-0.00010766,-0.0027789,0,0,0,0.014945,1E-06,0,6E-08,1.06E-06,0,1.3E-06,0,0,0,0,0,0,package://minidog/meshes/rr_foot.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://minidog/meshes/rr_foot.STL,,foot-4,rr_foot_link,rr_foot,rr_foot_joint,fixed,0,0,-0.12589,0,0,0,rr_calf,0,0,0,,,,,,,,,,,,
